gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000262814.7,MRPL12,2.292891190931911,NA,0.021854270109405032,0.012510788662698506,NA,NA,NA,3,3,3
ENSG00000182117.5,NOP10,2.292798682633246,NA,0.02185959790758083,0.010172947603049357,NA,NA,NA,3,3,3
ENSG00000072134.15,EPN2,-2.291356718373835,NA,0.021942790678445546,0.04665690503907559,NA,NA,NA,2,2,2
ENSG00000213213.13,CCDC183,2.29093215400799,NA,0.021967337954356212,0.0014502026345830055,NA,NA,NA,2,2,2
ENSG00000112624.12,GLTSCR1L,-2.289777040481568,NA,0.022034244760780863,0.002253606019859395,NA,NA,NA,1,1,1
ENSG00000180767.9,CHST13,-2.2889151086799395,NA,0.022084285237140677,0.4393332495532425,NA,NA,NA,3,3,3
ENSG00000100365.14,NCF4,-2.288661603887206,NA,0.0220990215589543,0.011634543721088964,NA,NA,NA,2,2,2
ENSG00000132646.10,PCNA,-2.288523197174072,NA,0.02210707079841603,0.004813458923028275,NA,NA,NA,1,1,1
ENSG00000142599.17,RERE,2.288515329360962,NA,0.022107528438880742,0.009925767809656084,NA,NA,NA,1,1,1
ENSG00000183378.11,OVCH2,2.2870444166541826,NA,0.022193230684750244,0.05831866951812719,NA,NA,NA,5,5,5
ENSG00000241978.9,AKAP2,-2.2861857414245605,NA,0.022243394566882586,7.327414240987265e-05,NA,NA,NA,1,1,1
ENSG00000141854.9,MISP3,2.2859039306640625,NA,0.022259879452678617,5.891899213250591e-05,NA,NA,NA,1,1,1
ENSG00000228058.1,LINC01736,-2.2855835605887473,NA,0.022278632818429605,8.954165108333642e-05,NA,NA,NA,2,2,2
ENSG00000196735.11,HLA-DQA1,2.2854500732061376,NA,0.02228645076592446,0.3267964398303267,NA,NA,NA,3,3,3
ENSG00000114744.8,COMMD2,-2.284395741120968,NA,0.022348283645058403,0.022996658626203766,NA,NA,NA,2,2,2
ENSG00000105401.8,CDC37,-2.284146547317505,NA,0.022362919762173826,0.0005335098693168102,NA,NA,NA,1,1,1
ENSG00000175115.11,PACS1,-2.283400774002075,NA,0.02240677171998757,0.0009622379801789489,NA,NA,NA,1,1,1
ENSG00000136273.11,HUS1,-2.28301739692688,NA,0.02242934362167454,0.052675528419332276,NA,NA,NA,1,1,1
ENSG00000149927.17,DOC2A,-2.281225167143344,NA,0.022535126243431406,0.01054009321295294,NA,NA,NA,2,2,2
ENSG00000134242.15,PTPN22,-2.2783038262539,NA,0.02270848185765816,0.01604659443283694,NA,NA,NA,2,2,2
ENSG00000147485.12,PXDNL,2.2781533580211875,NA,0.022717442105395665,0.0141331269308949,NA,NA,NA,2,2,2
ENSG00000124574.14,ABCC10,-2.2779925402765815,NA,0.02272702205348896,0.006172733541017965,NA,NA,NA,2,2,2
ENSG00000277511.1,CTD-2095E4.5,2.277352396172868,NA,0.022765190382782952,0.009768665147705158,NA,NA,NA,2,2,2
ENSG00000276234.4,TADA2A,2.277072676235186,NA,0.022781886047259368,0.4094639611830735,NA,NA,NA,3,3,3
ENSG00000141905.17,NFIC,2.2752404212951656,NA,0.02289151128396203,0.00440032064817672,NA,NA,NA,1,1,1
ENSG00000047932.13,GOPC,2.2749974727630615,NA,0.022906081437599403,0.005732081516396318,NA,NA,NA,1,1,1
ENSG00000131408.13,NR1H2,2.273638010025024,NA,0.022987760135264303,1.858244977741098e-05,NA,NA,NA,1,1,1
ENSG00000204209.11,DAXX,2.272369298869195,NA,0.023064214417660853,0.0014382968514460328,NA,NA,NA,3,3,3
ENSG00000110711.9,AIP,2.271095991134644,NA,0.023141167632078834,0.006610913450631013,NA,NA,NA,1,1,1
ENSG00000103056.11,SMPD3,2.270716246526041,NA,0.02316416087337852,0.002769234500762487,NA,NA,NA,3,3,3
ENSG00000146376.10,ARHGAP18,2.270681614580949,NA,0.02316625879752808,0.005358284339078943,NA,NA,NA,2,2,2
ENSG00000104368.17,PLAT,2.2694961262029603,NA,0.02323817253088291,0.18981534551562568,NA,NA,NA,2,2,2
ENSG00000134460.15,IL2RA,2.2687859535217285,NA,0.023281345576592793,5.551064092971584e-06,NA,NA,NA,1,1,1
ENSG00000138398.15,PPIG,-2.2676882743835445,NA,0.023348213033729647,2.9898702712477387e-06,NA,NA,NA,1,1,1
ENSG00000152193.7,RNF219,-2.267124323317169,NA,0.023382632095295054,0.004169054216195588,NA,NA,NA,2,2,2
ENSG00000204388.6,HSPA1B,-2.2665856233721007,NA,0.023415551150972592,0.007271596023247457,NA,NA,NA,2,2,2
ENSG00000128951.13,DUT,-2.26596999168396,NA,0.02345322062421299,0.007541513777940003,NA,NA,NA,1,1,1
ENSG00000135604.9,STX11,-2.265296192498156,NA,0.023494509544669542,0.0016070464006070707,NA,NA,NA,2,2,2
ENSG00000144468.16,RHBDD1,-2.2652885913848877,NA,0.023494975683651893,0.0033384373904168933,NA,NA,NA,1,1,1
ENSG00000173578.7,XCR1,2.2640454769134526,NA,0.023571317871453234,0.00299817603239871,NA,NA,NA,1,1,1
ENSG00000149782.11,PLCB3,-2.2620600571983442,NA,0.02369369298456904,0.003171786543366532,NA,NA,NA,2,2,2
ENSG00000124466.8,LYPD3,-2.2617907524108887,NA,0.023710334477793416,0.02467687655834808,NA,NA,NA,1,1,1
ENSG00000277288.3,C10orf142,2.2616803646087646,NA,0.023717158741277763,4.131638728083749e-05,NA,NA,NA,1,1,1
ENSG00000064687.12,ABCA7,2.2611324991986654,NA,0.02375105344698806,0.13443585612820758,NA,NA,NA,3,3,3
ENSG00000204420.8,MPIG6B,-2.2594135865596763,NA,0.023857670047024156,0.009266538555472055,NA,NA,NA,2,2,2
ENSG00000182334.1,OR5P3,-2.257824570101239,NA,0.023956598761261997,0.013520180194873638,NA,NA,NA,2,2,2
ENSG00000143569.18,UBAP2L,-2.256170034408569,NA,0.02405998443528251,5.453189531273918e-07,NA,NA,NA,1,1,1
ENSG00000075618.17,FSCN1,2.2558966516803065,NA,0.024077104278041696,5.274866795989413e-05,NA,NA,NA,2,2,2
ENSG00000278662.4,GOLGA6L10,-2.25474758400107,NA,0.02414917703509403,1.8127306639329974,NA,NA,NA,4,4,4
ENSG00000182544.8,MFSD5,-2.254251718521118,NA,0.024180336842201108,0.0015262817759566065,NA,NA,NA,1,1,1
ENSG00000274918.1,RP11-54G14.1,2.2526793256553153,NA,0.024279375424484703,0.0023433520402065967,NA,NA,NA,2,2,2
ENSG00000118900.14,UBN1,-2.252168464280429,NA,0.024311628076139513,0.08664782624518648,NA,NA,NA,2,2,2
ENSG00000260563.3,RP13-516M14.1,-2.2519742692831555,NA,0.02432389809416815,0.010191623842069978,NA,NA,NA,2,2,2
ENSG00000232229.5,LINC00865,-2.251374894032907,NA,0.02436180287928837,0.48791214024174406,NA,NA,NA,3,3,3
