gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000241837.6,ATP5O,-0.17122815549373624,NA,0.864044369529649,0.004169098131681359,NA,NA,NA,1,1.0,1
ENSG00000197013.9,ZNF429,-0.17122622019972009,NA,0.8640458911998282,0.3244959736178549,NA,NA,NA,3,3.0,3
ENSG00000155729.12,KCTD18,-0.17121908068656924,NA,0.8640515048133697,0.00048033999527914944,NA,NA,NA,1,1.0,1
ENSG00000196422.10,PPP1R26,-0.1712145249409372,NA,0.8640550868812833,0.014928997350736155,NA,NA,NA,2,2.0,2
ENSG00000160179.18,ABCG1,0.1709844022989273,NA,0.8642360301455299,0.001080942383831321,NA,NA,NA,1,1.0,1
ENSG00000253719.3,ATXN7L3B,0.17085764995091082,NA,0.8643356973634028,0.0008728249632127912,NA,NA,NA,2,2.0,2
ENSG00000225783.6,MIAT,-0.17083508869998104,NA,0.8643534378300348,0.19863162458683742,NA,NA,NA,2,2.0,2
ENSG00000143633.12,C1orf131,-0.1706205904483795,NA,0.8645221064961833,6.336685259900378e-05,NA,NA,NA,1,1.0,1
ENSG00000094916.15,CBX5,-0.17056408544729432,NA,0.8645665396955434,0.005404994354017623,NA,NA,NA,2,2.0,2
ENSG00000152818.18,UTRN,0.17001879215240479,NA,0.864995357810228,7.42212866574154e-07,NA,NA,NA,1,1.0,1
ENSG00000276966.2,HIST1H4E,-0.16997110843658447,NA,0.8650328581299137,0.0003950680051723145,NA,NA,NA,1,1.0,1
ENSG00000272040.1,CTC-366B18.4,0.16982726752758026,NA,0.8651459820289542,0.0012542787026409653,NA,NA,NA,1,1.0,1
ENSG00000166073.10,GPR176,-0.16970893740653992,NA,0.8652390450023028,0.0023557318510319353,NA,NA,NA,1,1.0,1
ENSG00000159640.15,ACE,0.1696702331531893,NA,0.8652694851038606,0.021715068066095106,NA,NA,NA,2,2.0,2
ENSG00000221909.2,FAM200A,0.1695786565542221,NA,0.8653415090169504,5.2619848585490055e-09,NA,NA,NA,1,1.0,1
ENSG00000145439.11,CBR4,-0.16932661993268602,NA,0.8655397386153938,0.006623672834892272,NA,NA,NA,2,2.0,2
ENSG00000273015.2,RP11-352M15.2,0.1692475825548172,NA,0.865601904132828,1.3568692231498107e-05,NA,NA,NA,1,1.0,1
ENSG00000253250.2,C8orf88,0.16923134663306452,NA,0.865614674326406,0.00400243629643565,NA,NA,NA,3,3.0,3
ENSG00000037280.15,FLT4,0.1690666890003236,NA,0.865744186038284,0.05166919497295776,NA,NA,NA,2,2.0,2
ENSG00000135953.10,MFSD9,-0.16898441980331044,NA,0.8658088963514643,1.5767199796338465,NA,NA,NA,2,2.0,2
ENSG00000090615.14,GOLGA3,0.168944287135701,NA,0.8658404637478236,0.014162260881016355,NA,NA,NA,2,2.0,2
ENSG00000011465.16,DCN,0.16871824860572815,NA,0.866018264244784,0.0005707494452772618,NA,NA,NA,1,1.0,1
ENSG00000128159.11,TUBGCP6,0.168630338666728,NA,0.8660874154860541,0.009578930492532289,NA,NA,NA,2,2.0,2
ENSG00000184900.15,SUMO3,0.1685177534818649,NA,0.8661759781329602,0.00023584754898065807,NA,NA,NA,1,1.0,1
ENSG00000185722.16,ANKFY1,0.1684520393610001,NA,0.8662276714701567,0.001659249039908397,NA,NA,NA,1,1.0,1
ENSG00000166483.10,WEE1,0.16821563998859018,NA,0.866413637335098,0.003795926834529224,NA,NA,NA,2,2.0,2
ENSG00000187726.8,DNAJB13,0.1681754096478756,NA,0.8664452856604303,0.02453338466567661,NA,NA,NA,3,3.0,3
ENSG00000166295.8,ANAPC16,0.16816331446170804,NA,0.8664548007195709,0.0001581067086243984,NA,NA,NA,1,1.0,1
ENSG00000160294.10,MCM3AP,0.16799814346678224,NA,0.8665847396209635,0.02572352266478853,NA,NA,NA,2,2.0,2
ENSG00000062282.14,DGAT2,0.1677938997745514,NA,0.8667454217338888,0.00265356356926834,NA,NA,NA,1,1.0,1
ENSG00000125505.16,MBOAT7,-0.16759972274303436,NA,0.8668981893338524,0.00039046628689931936,NA,NA,NA,1,1.0,1
ENSG00000019102.11,VSIG2,0.167570024728775,NA,0.8669215545046474,0.0025216441372258704,NA,NA,NA,1,1.0,1
ENSG00000175787.16,ZNF169,-0.16729544103145602,NA,0.8671375911196074,0.014295482539428417,NA,NA,NA,1,1.0,1
ENSG00000161048.11,NAPEPLD,-0.16712853872165187,NA,0.8672689111588505,0.00012923183620021708,NA,NA,NA,2,2.0,2
ENSG00000174444.14,RPL4,0.167108622408632,NA,0.867284581713996,0.0007687328172422936,NA,NA,NA,2,2.0,2
ENSG00000181315.10,ZNF322,-0.16700226426063064,NA,0.8673682673240646,0.1159074200717106,NA,NA,NA,2,2.0,2
ENSG00000260475.1,RP11-85A1.3,-0.16693344712257385,NA,0.8674224153939158,0.009310884743009387,NA,NA,NA,1,1.0,1
ENSG00000104938.16,CLEC4M,0.16670725495516422,NA,0.8676003967968202,0.00272928209719489,NA,NA,NA,2,2.0,2
ENSG00000154642.10,C21orf91,0.16651123762130735,NA,0.8677546402808061,6.192905542841892e-05,NA,NA,NA,1,1.0,1
ENSG00000105429.12,MEGF8,-0.1665050109285449,NA,0.8677595400666788,0.0011141811869151974,NA,NA,NA,2,2.0,2
ENSG00000174013.7,FBXO45,0.16646086269569335,NA,0.8677942804662806,0.0014088224611514806,NA,NA,NA,2,2.0,2
ENSG00000143578.15,CREB3L4,0.16631156206130981,NA,0.8679117675514634,0.02057512866048311,NA,NA,NA,1,1.0,1
ENSG00000244355.7,LY6G6D,0.1662896573543549,NA,0.8679290049652933,0.012132410063944051,NA,NA,NA,1,1.0,1
ENSG00000128617.2,OPN1SW,-0.16618856381395433,NA,0.8680085590544299,0.3886400270468159,NA,NA,NA,3,3.0,3
ENSG00000117479.12,SLC19A2,0.1659652292728424,NA,0.8681843136553662,0.0015879084105303132,NA,NA,NA,1,1.0,1
ENSG00000008438.4,PGLYRP1,0.1659207046031952,NA,0.8682193534190827,0.0048490180347962025,NA,NA,NA,1,1.0,1
ENSG00000188938.15,FAM120AOS,-0.16547170091469984,NA,0.8685727221679299,0.001887550204653801,NA,NA,NA,2,2.0,2
ENSG00000245680.9,ZNF585B,0.16545151770759173,NA,0.8685886070970023,0.010326133989486012,NA,NA,NA,2,2.0,2
ENSG00000072840.12,EVC,0.16534358365366536,NA,0.8686735560820862,0.02920768047739445,NA,NA,NA,5,5.0,5
ENSG00000054523.17,KIF1B,-0.16524330961392006,NA,0.8687524776478304,0.010242951162551884,NA,NA,NA,4,4.0,4
ENSG00000197448.13,GSTK1,0.1652359826415179,NA,0.8687582444572397,0.006927557430749664,NA,NA,NA,2,2.0,2
ENSG00000118412.12,CASP8AP2,-0.16522608697414398,NA,0.8687660330096993,0.00012806234993239471,NA,NA,NA,1,1.0,1
ENSG00000186300.11,ZNF555,-0.1651462866256394,NA,0.8688288416897074,0.003415803614633172,NA,NA,NA,2,2.0,2
ENSG00000187010.19,RHD,-0.16508224846327005,NA,0.8688792449811421,0.43693609680845175,NA,NA,NA,2,2.0,2
ENSG00000132383.11,RPA1,0.16496672831673354,NA,0.8689701701683292,0.006890914722911087,NA,NA,NA,2,2.0,2
ENSG00000133641.17,C12orf29,0.1649290025234222,NA,0.8689998642804592,1.8394974633456758e-06,NA,NA,NA,1,1.0,1
ENSG00000148730.6,EIF4EBP2,0.16473724784696572,NA,0.869150797954346,0.005108705687332012,NA,NA,NA,2,2.0,2
ENSG00000111490.12,TBC1D30,0.16471658402520564,NA,0.8691670631176331,0.05467548055942675,NA,NA,NA,2,2.0,2
ENSG00000115762.16,PLEKHB2,0.16464395821094516,NA,0.8692242296871345,1.3904538325916447e-07,NA,NA,NA,1,1.0,1
ENSG00000162398.11,LEXM,-0.1644804445776498,NA,0.869352940053505,0.04904451929016705,NA,NA,NA,2,2.0,2
ENSG00000177150.12,FAM210A,-0.1643358347504277,NA,0.8694667731030308,0.0017215852463936358,NA,NA,NA,3,3.0,3
